"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","13","24","3 out of 5 stars","0"
"2",1,"Christian McCaffrey",SF,"RB1","9","27","2 out of 5 stars","+4"
"3",1,"Ja'Marr Chase",CIN,"WR2","7","23","3 out of 5 stars","-1"
"4",1,"Bijan Robinson",ATL,"RB2","11","21","3 out of 5 stars","-1"
"5",1,"Jahmyr Gibbs",DET,"RB3","9","21","4 out of 5 stars","+11"
"6",1,"Breece Hall",NYJ,"RB4","7","22","5 out of 5 stars","+3"
"7",2,"Jonathan Taylor",IND,"RB5","11","24","3 out of 5 stars","-2"
"8",2,"A.J. Brown",PHI,"WR3","10","26","4 out of 5 stars","-1"
"9",2,"Travis Etienne Jr.",JAC,"RB6","9","24","3 out of 5 stars","+21"
"10",2,"Saquon Barkley",NYG,"RB7","13","26","4 out of 5 stars","+1"
"11",2,"Amon-Ra St. Brown",DET,"WR4","9","24","3 out of 5 stars","+2"
"12",2,"CeeDee Lamb",DAL,"WR5","7","24","4 out of 5 stars","-8"
"13",3,"De'Von Achane",MIA,"RB8","10","22","4 out of 5 stars","+70"
"14",3,"Tyreek Hill",MIA,"WR6","10","29","3 out of 5 stars","+1"
"15",3,"Garrett Wilson",NYJ,"WR7","7","23","4 out of 5 stars","+4"
"16",3,"Kenneth Walker III",SEA,"RB9","5","23","2 out of 5 stars","+6"
"17",3,"Chris Olave",NO,"WR8","11","23","4 out of 5 stars","+7"
"18",3,"Stefon Diggs",BUF,"WR9","13","30","2 out of 5 stars","-6"
"19",3,"T.J. Hockenson",MIN,"TE1","13","26","3 out of 5 stars","+33"
"20",4,"D'Andre Swift",PHI,"RB10","10","24","3 out of 5 stars","+21"
"21",4,"Patrick Mahomes II",KC,"QB1","10","28","5 out of 5 stars","-13"
"22",4,"Austin Ekeler",LAC,"RB11","5","28","5 out of 5 stars","-5"
"23",4,"Jaylen Waddle",MIA,"WR10","10","25","3 out of 5 stars","-13"
"24",4,"Josh Jacobs",LV,"RB12","13","25","3 out of 5 stars","+5"
"25",4,"Tee Higgins",CIN,"WR11","7","24","3 out of 5 stars","-5"
"26",4,"Drake London",ATL,"WR12","11","22","4 out of 5 stars","+8"
"27",4,"Cooper Kupp",LAR,"WR13","10","30","3 out of 5 stars","-9"
"28",4,"DK Metcalf",SEA,"WR14","5","25","2 out of 5 stars","-1"
"29",5,"Jordan Addison",MIN,"WR15","13","21","3 out of 5 stars","+16"
"30",5,"DeVonta Smith",PHI,"WR16","10","25","4 out of 5 stars","+3"
"31",5,"Jaxon Smith-Njigba",SEA,"WR17","5","21","2 out of 5 stars","-5"
"32",5,"Zay Flowers",BAL,"WR18","13","23","2 out of 5 stars","+23"
"33",5,"Tony Pollard",DAL,"RB13","7","26","3 out of 5 stars","+6"
"34",5,"Rachaad White",TB,"RB14","5","24","2 out of 5 stars","+23"
"35",5,"Puka Nacua",LAR,"WR19","10","22","3 out of 5 stars","+188"
"36",5,"Travis Kelce",KC,"TE2","10","34","4 out of 5 stars","-11"
"37",5,"Rhamondre Stevenson",NE,"RB15","11","25","5 out of 5 stars","+12"
"38",5,"Javonte Williams",DEN,"RB16","9","23","3 out of 5 stars","+2"
"39",5,"George Pickens",PIT,"WR20","6","22","1 out of 5 stars","+29"
"40",5,"Sam LaPorta",DET,"TE3","9","22","3 out of 5 stars","+77"
"41",5,"Davante Adams",LV,"WR21","13","30","4 out of 5 stars","-13"
"42",5,"Joe Mixon",CIN,"RB17","7","27","2 out of 5 stars","+11"
"43",5,"Mark Andrews",BAL,"TE4","13","28","3 out of 5 stars","-11"
"44",6,"DJ Moore",CHI,"WR22","13","26","4 out of 5 stars","+10"
"45",6,"Calvin Ridley",JAC,"WR23","9","28","3 out of 5 stars","+34"
"46",6,"Jalen Hurts",PHI,"QB2","10","25","2 out of 5 stars","-25"
"47",6,"Kyle Pitts",ATL,"TE5","11","23","3 out of 5 stars","-10"
"48",6,"Brandon Aiyuk",SF,"WR24","9","25","3 out of 5 stars","+14"
"49",6,"Josh Allen",BUF,"QB3","13","27","3 out of 5 stars","-35"
"50",6,"Najee Harris",PIT,"RB18","6","25","4 out of 5 stars","-27"
"51",6,"Chris Godwin",TB,"WR25","5","27","4 out of 5 stars","-3"
"52",6,"Deebo Samuel",SF,"WR26","9","27","3 out of 5 stars","-16"
"53",6,"Michael Pittman Jr.",IND,"WR27","11","26","2 out of 5 stars","-9"
"54",6,"Isiah Pacheco",KC,"RB19","10","24","4 out of 5 stars","+30"
"55",6,"Justin Herbert",LAC,"QB4","5","25","3 out of 5 stars","-13"
