"ID","Last Name","First Name","Team ID","Team Name","Status","Status Details","Position","Eligible Positions","Image"
"423.p.32723","Hurts","Jalen","423.l.1132339.t.1","Vultures","Available","","QB","QB","https://s.yimg.com/iu/api/res/1.2/ujyYPM4olVg1EDnXzQUgGw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08222023/32723.png"
"423.p.31898","Johnson","Diontae","423.l.1132339.t.1","Vultures","Available","","WR","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/rWYS3gd7L1OSmCvaDD5O_g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09062022/31898.png"
"423.p.32692","Jefferson","Justin","423.l.1132339.t.1","Vultures","Available","","WR","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/uKAl5.v0hNtF.Gofx7AY5w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09122022/32692.png"
"423.p.29279","Henry","Derrick","423.l.1132339.t.1","Vultures","Available","","RB","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/axybdmTm92jaZUw5ZMNwog--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08182023/29279.png"
"423.p.31424","Edwards","Gus","423.l.1132339.t.1","Vultures","Available","","RB","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/.tqOcfnB1VBA6GIceYgrmw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08222023/31424.png"
"423.p.34085","Ferguson","Jake","423.l.1132339.t.1","Vultures","Available","","TE","TE,W/R/T","https://s.yimg.com/iu/api/res/1.2/0lyCXGNYBem4Ht_01b9Gcg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08282023/34085.png"
"423.p.33477","Collins","Nico","423.l.1132339.t.1","Vultures","Available","","W/R/T","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/Pw4P.sDqOulYFOpgaRiAoQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08312023/33477.png"
"423.p.26650","Hopkins","DeAndre","423.l.1132339.t.1","Vultures","Available","","BN","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/CGPCfPqk5JU00Xl3dyZDwA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08282023/26650.png"
"423.p.33514","Hubbard","Chuba","423.l.1132339.t.1","Vultures","Available","","BN","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/y8R0YHhoMVrg0hUqGAlVFA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09012023/33514.png"
"423.p.32798","Davis","Gabe","423.l.1132339.t.1","Vultures","Available","","BN","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/FpnVozvf7BEniT.DSR1bbg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08162022/32798.png"
"423.p.40126","Downs","Josh","423.l.1132339.t.1","Vultures","Available","","BN","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/Kh.._7.DGWq5GmXaqF3C0w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08172023/40126.png"
"423.p.30248","Dobbs","Joshua","423.l.1132339.t.1","Vultures","Available","","BN","QB","https://s.yimg.com/iu/api/res/1.2/ZpS0w9R3NDxDxbdRjYNNYA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10312023/30248.png"
"423.p.30266","Elliott","Jake","423.l.1132339.t.1","Vultures","Available","","K","K","https://s.yimg.com/iu/api/res/1.2/cJxU0FO_kfryoXKrAKY9iA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09052022/30266.png"
"423.p.100011","","Indianapolis","423.l.1132339.t.1","Vultures","Available","","DEF","DEF","https://s.yimg.com/lq/i/us/sp/v/nfl/teams/1/50x50w/ind.gif"
"423.p.100005","","Cleveland","423.l.1132339.t.1","Vultures","Available","","BN","DEF","https://s.yimg.com/lq/i/us/sp/v/nfl/teams/1/50x50w/cle.gif"
"423.p.33996","Walker III","Kenneth","423.l.1132339.t.1","Vultures","Questionable","Q - Oblique","IR","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/P3hgQ_501q_FSeopp00fXQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/07252023/33996.png"
"423.p.30123","Mahomes","Patrick","423.l.1132339.t.2","Country Roads Take Mahomes","Available","","QB","QB","https://s.yimg.com/iu/api/res/1.2/LzH2rsHlIjQrRMSxKJp8bw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302023/30123.png"
"423.p.32704","Pittman Jr.","Michael","423.l.1132339.t.2","Country Roads Take Mahomes","Available","","WR","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/aKVf3jXhL1bRWRN5yveOLw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09042023/32704.png"
"423.p.30182","Kupp","Cooper","423.l.1132339.t.2","Country Roads Take Mahomes","Available","","WR","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/c3BFIzPM2ucnxLmLtUmT6w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252023/30182.png"
"423.p.40059","Gibbs","Jahmyr","423.l.1132339.t.2","Country Roads Take Mahomes","Available","","RB","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/uJhJQiAliGiwFDTJ7lQ.2Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08112023/40059.png"
"423.p.40118","Achane","De'Von","423.l.1132339.t.2","Country Roads Take Mahomes","Available","","RB","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/jC88IUunXzlnbnUq1GyzlA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08102023/40118.png"
"423.p.30136","Engram","Evan","423.l.1132339.t.2","Country Roads Take Mahomes","Available","","TE","TE,W/R/T","https://s.yimg.com/iu/api/res/1.2/o6Ww.Q9ytv48B9LNAHMv8A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09022022/30136.png"
"423.p.30994","Moore","DJ","423.l.1132339.t.2","Country Roads Take Mahomes","Available","","W/R/T","WR,W/R/T","https://s.yimg.com/iu/api/res/1.2/3K7Sh.Q0fLpdyh7g2QD.nA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08082023/30994.png"
"423.p.30295","Jones","Aaron","423.l.1132339.t.2","Country Roads Take Mahomes","Questionable","Q - Knee - MCL","BN","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/ez8dGQIh4snWNJ.0GsSe3Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302022/30295.png"
"423.p.32732","Dillon","AJ","423.l.1132339.t.2","Country Roads Take Mahomes","Questionable","Q - Groin","BN","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/AchNjEetaIqxY1nRI4bj.g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08302023/32732.png"
"423.p.30218","Conner","James","423.l.1132339.t.2","Country Roads Take Mahomes","Available","","BN","RB,W/R/T","https://s.yimg.com/iu/api/res/1.2/PrfE8z8iqrnrYHB7znKVdQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08212023/30218.png"
